2021-Sep-09 11:50:38 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - browser is maximised
2021-Sep-09 11:50:40 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - deleted cookies
2021-Sep-09 11:50:55 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - url navigated
2021-Sep-09 11:50:59 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:51:09 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:51:15 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:51:15 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:51:15 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - blue colour link clicked
2021-Sep-09 11:51:16 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:51:17 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:51:26 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:51:34 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:51:45 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:52:16 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
